chromosome	win_start	win_end	n_bases	gc_bases	exon_bases	simple_rep_bases	complex_rep_bases
chr21	0	2335499	2335499	0	NA	NA	NA
chr21	2335499	4670998	2335499	0	NA	NA	NA
chr21	4670998	7006497	889002	648702	253805	154999	631392
chr21	7006497	9341996	600001	729820	154932	345062	740985
chr21	9341996	11677495	350800	778829	41904	1617305	497476
chr21	11677495	14012994	50400	889396	12672	1836309	508445
chr21	14012994	16348493	0	867338	270654	41741	1048889
chr21	16348493	18683992	0	867175	190141	29885	1194210
chr21	18683992	21019491	0	822404	11697	43919	1151173
chr21	21019491	23354990	0	809656	86625	45584	1142404
chr21	23354990	25690489	0	839298	55946	41427	1128161
chr21	25690489	28025988	0	880857	254203	33249	1091910
chr21	28025988	30361487	0	890511	197183	36281	1080532
chr21	30361487	32696986	30	979741	339787	42324	1105190
chr21	32696986	35032485	0	1016543	668592	33233	1036531
chr21	35032485	37367984	0	1009754	530783	33519	1093246
chr21	37367984	39703483	10	995639	641001	39385	1038114
chr21	39703483	42038982	103	1029888	489845	49423	1009580
chr21	42038982	44374481	50020	1172446	909833	58130	913144
chr21	44374481	46709983	10000	1183628	1041644	54193	937997
