chromosome	win_start	win_end	n_bases	gc_bases	exon_bases	simple_rep_bases	complex_rep_bases
chr1	0	12447821	203509	6163179	4028901	255782	5034885
chr1	12447821	24895642	100000	5878447	4174964	189162	6262883
chr1	24895642	37343463	1602	5836320	4103583	182090	6687536
chr1	37343463	49791284	0	5553627	4410734	151595	6844291
chr1	49791284	62239105	0	5201735	2417683	153685	6638154
chr1	62239105	74686926	0	4726580	1936118	159117	6361703
chr1	74686926	87134747	0	4663124	1722472	151928	6134943
chr1	87134747	99582568	0	4814061	1699444	143238	6275548
chr1	99582568	112030389	0	4781330	1996319	178483	6447897
chr1	112030389	124478210	55507	5056084	1883490	3218787	4945108
chr1	124478210	136926031	11746234	276410	NA	2545674	48856
chr1	136926031	149373852	6258556	2593502	1616205	129465	2825077
chr1	149373852	161821673	0	5514805	5763817	156215	6282608
chr1	161821673	174269494	0	4940981	2237831	146756	6476093
chr1	174269494	186717315	0	5028601	2541293	141601	6202145
chr1	186717315	199165136	0	4365525	862937	199194	6229811
chr1	199165136	211612957	0	5454808	4008941	171827	5740001
chr1	211612957	224060778	50000	4923371	1899049	160308	5893280
chr1	224060778	236508599	50000	5390526	3898700	202608	6221255
chr1	236508599	248956422	10002	5003555	2178289	176246	6161794
chr10	0	6689871	10000	2888234	1262997	133927	2628763
chr10	6689871	13379742	0	2762267	841364	111313	2978221
chr10	13379742	20069613	0	2702687	1299380	144079	3145231
chr10	20069613	26759484	0	2672563	944696	93864	3404729
chr10	26759484	33449355	0	2740346	1826705	93614	3515925
chr10	33449355	40139226	123438	2620231	1025445	1530855	2728836
chr10	40139226	46829097	250600	2702903	1134286	1923044	2435680
chr10	46829097	53518968	90002	2677671	1352633	89313	3019974
chr10	53518968	60208839	2	2420828	850433	100038	3317180
chr10	60208839	66898710	3	2515181	723253	87091	3326860
chr10	66898710	73588581	0	2956221	2253138	84065	3481063
chr10	73588581	80278452	0	2946792	1666416	95233	3048274
chr10	80278452	86968323	0	2683116	702159	92013	3574389
chr10	86968323	93658194	0	2660277	1340974	79944	3544388
chr10	93658194	100348065	0	2833230	2478628	72589	3638901
chr10	100348065	107037936	0	2906955	1870930	97186	3024478
chr10	107037936	113727807	0	2691957	698288	83264	3204730
chr10	113727807	120417678	1	2803188	1511177	87354	3150672
chr10	120417678	127107549	308	2987103	1883368	89020	2863867
chr10	127107549	133797422	60106	3187731	982869	147024	2238076
chr11	0	6754331	60000	3200522	2241154	145504	2883062
chr11	6754331	13508662	0	2855801	1691383	72127	3446320
chr11	13508662	20262993	0	2820491	1276072	87350	3391809
chr11	20262993	27017324	0	2466359	360708	109282	3488736
chr11	27017324	33771655	0	2613011	864931	86400	3372767
chr11	33771655	40525986	0	2623437	786246	94509	3397200
chr11	40525986	47280317	0	2849744	1360959	107391	3364886
chr11	47280317	54034648	257900	2598061	1040864	3880700	1650013
chr11	54034648	60788979	100100	2623512	934708	971753	3278744
chr11	60788979	67543310	0	3374483	3651088	97741	3380851
chr11	67543310	74297641	100000	3200783	2021944	151598	3288408
chr11	74297641	81051972	0	2886826	1438415	84157	3617539
chr11	81051972	87806303	0	2573185	1412632	91542	3611668
chr11	87806303	94560634	24694	2537372	861771	103119	3431553
chr11	94560634	101314965	186	2504200	713163	88668	3508732
chr11	101314965	108069296	0	2533611	772734	87338	3507425
chr11	108069296	114823627	0	2765592	1540277	81154	3408364
chr11	114823627	121577958	0	3087274	2131866	90497	3023264
chr11	121577958	128332289	0	2838839	1307442	92711	3202983
chr11	128332289	135086622	10000	2931955	1335269	102903	2881654
chr12	0	6663765	10000	3014293	2334998	92937	2988269
chr12	6663765	13327530	1002	2772346	1709634	100759	3548937
chr12	13327530	19991295	0	2518046	848694	88946	3407098
chr12	19991295	26655060	0	2498599	1152307	87602	3269433
chr12	26655060	33318825	0	2652358	1831235	77125	3482183
chr12	33318825	39982590	115188	2506021	310640	3395846	1809406
chr12	39982590	46646355	0	2516494	935809	86023	3310826
chr12	46646355	53310120	0	3007262	3162597	94553	3361603
chr12	53310120	59973885	0	2853307	2627679	114552	3211266
chr12	59973885	66637650	0	2539898	847246	80635	3480717
chr12	66637650	73301415	0	2562614	1035572	84775	3410952
chr12	73301415	79965180	0	2438005	908574	123349	3247518
chr12	79965180	86628945	0	2366135	751856	96702	3307178
chr12	86628945	93292710	0	2460719	517282	98675	3383061
chr12	93292710	99956475	0	2669026	1290631	81639	3543094
chr12	99956475	106620240	0	2713011	1247986	86023	3507101
chr12	106620240	113284005	0	3016680	2057280	101604	3605348
chr12	113284005	119947770	0	2957920	997854	141856	3437030
chr12	119947770	126611535	301	3126242	2106035	111126	3504307
chr12	126611535	133275309	11002	3086506	1246487	176833	2964515
chr13	0	5718216	5718216	0	NA	NA	NA
chr13	5718216	11436432	5718216	0	NA	NA	NA
chr13	11436432	17154648	4564368	443128	NA	1415542	NA
chr13	17154648	22872864	170400	2277012	901484	1858895	2365304
chr13	22872864	28591080	0	2405764	942608	82122	2725240
chr13	28591080	34309296	0	2325931	824971	63731	2817468
chr13	34309296	40027512	0	2159541	758450	68903	2795978
chr13	40027512	45745728	0	2326022	986950	89340	2752387
chr13	45745728	51463944	0	2275934	932146	65806	2966732
chr13	51463944	57182160	0	2125036	476443	77640	2893453
chr13	57182160	62900376	0	2042667	213396	100973	2772007
chr13	62900376	68618592	0	1976827	124076	103429	2658076
chr13	68618592	74336808	0	2043682	319890	88800	2525471
chr13	74336808	80055024	0	2152700	1299334	71019	2726188
chr13	80055024	85773240	0	2005965	117335	97063	2837224
chr13	85773240	91491456	50000	1978762	93432	103876	2800152
